PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241002,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,15300,600,g,30.0,kg,600.0,g,N,20241017110043
20241004,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,15300,600,g,30.0,kg,600.0,g,N,20241021011538
20241007,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,15300,600,g,30.0,kg,600.0,g,N,20241023013040
20241008,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,15300,600,g,30.0,kg,600.0,g,N,20241023110036
20241010,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,15300,600,g,30.0,kg,600.0,g,N,20241025110049
20241011,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,15300,600,g,30.0,kg,600.0,g,N,20241028010101
20241014,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,15300,600,g,30.0,kg,600.0,g,N,20241029110052
20241015,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,15300,600,g,30.0,kg,600.0,g,N,20241030110107
20241016,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,15300,600,g,30.0,kg,600.0,g,N,20241031020130
20241017,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,N,20241101110041
20241018,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,N,20241104024545
20241021,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,N,20241105110052
20241022,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,N,20241106030109
20241023,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,N,20241107110055
20241024,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,N,20241108110102
20241025,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,N,20241111090115
20241028,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,N,20241112110049
20241029,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,N,20241113110033
20241030,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,N,20241114120046
20241031,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,N,20241115104625
20241101,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,N,20241118015923
20241104,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,N,20241119111557
20241105,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,N,20241120111630
20241106,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,N,20241121111556
20241107,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,N,20241122111543
20241108,83,250402,E-유통,25,대전,2501,대전,241,건고추,0,화건,1,소매,4,상품,16600,600,g,30.0,kg,600.0,g,N,20241125020105
