PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20241113,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,2,꽈리고추,9,09,4,상품,1990,,,4.0,kg,100.0,g,100.0,g,N,20241128111608
20241113,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,0,풋고추(녹광 등),9,09,4,상품,2660,1,kg,10.0,kg,100.0,g,100.0,g,N,20241128111608
20241113,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,4,오이맛고추,9,09,4,상품,1990,,,10.0,kg,100.0,g,,,N,20241128111608
20241118,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,0,풋고추(녹광 등),9,09,4,상품,2320,1,kg,10.0,kg,100.0,g,100.0,g,N,20241203114550
20241118,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,3,청양고추,9,09,4,상품,1990,,,10.0,kg,100.0,g,,,N,20241203114550
20241118,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,2,꽈리고추,9,09,4,상품,2320,,,4.0,kg,100.0,g,100.0,g,N,20241203114550
20241120,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,2,꽈리고추,9,09,4,상품,2320,,,4.0,kg,100.0,g,100.0,g,N,20241205114603
20241120,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,3,청양고추,9,09,4,상품,1990,,,10.0,kg,100.0,g,,,N,20241205114603
20241120,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,0,풋고추(녹광 등),9,09,4,상품,2320,1,kg,10.0,kg,100.0,g,100.0,g,N,20241205114603
20241125,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,0,풋고추(녹광 등),9,09,4,상품,2320,1,kg,10.0,kg,100.0,g,100.0,g,N,20241210024617
20241125,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,2,꽈리고추,9,09,4,상품,2320,,,4.0,kg,100.0,g,100.0,g,N,20241210024617
20241125,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,4,오이맛고추,9,09,4,상품,1990,,,10.0,kg,100.0,g,,,N,20241210024617
20241127,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,0,풋고추(녹광 등),9,09,4,상품,2320,1,kg,10.0,kg,100.0,g,100.0,g,N,20241212114550
20241127,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,2,꽈리고추,9,09,4,상품,2320,,,4.0,kg,100.0,g,100.0,g,N,20241212114550
20241127,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,3,청양고추,9,09,4,상품,1990,,,10.0,kg,100.0,g,,,N,20241212114550
20241127,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,4,오이맛고추,9,09,4,상품,1990,,,10.0,kg,100.0,g,,,N,20241212114550
20241129,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,0,풋고추(녹광 등),9,09,4,상품,1790,1,kg,10.0,kg,100.0,g,100.0,g,N,20241216123040
20241129,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,4,오이맛고추,9,09,4,상품,1790,,,10.0,kg,100.0,g,,,N,20241216123040
20241129,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,2,꽈리고추,9,09,4,상품,1790,,,4.0,kg,100.0,g,100.0,g,N,20241216123040
20241202,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,0,풋고추(녹광 등),9,09,4,상품,1790,1,kg,10.0,kg,100.0,g,100.0,g,N,20241217111607
20241202,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,2,꽈리고추,9,09,4,상품,1790,,,4.0,kg,100.0,g,100.0,g,N,20241217111607
20241202,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,4,오이맛고추,9,09,4,상품,1790,,,10.0,kg,100.0,g,,,N,20241217111607
20241204,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,0,풋고추(녹광 등),9,09,4,상품,1790,1,kg,10.0,kg,100.0,g,100.0,g,N,20241219114626
20241204,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,2,꽈리고추,9,09,4,상품,1790,,,4.0,kg,100.0,g,100.0,g,N,20241219114626
20241204,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,4,오이맛고추,9,09,4,상품,1790,,,10.0,kg,100.0,g,,,N,20241219114626
20241206,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,0,풋고추(녹광 등),9,09,4,상품,1790,1,kg,10.0,kg,100.0,g,100.0,g,N,20241223033047
20241206,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,2,꽈리고추,9,09,4,상품,1790,,,4.0,kg,100.0,g,100.0,g,N,20241223033047
20241206,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,4,오이맛고추,9,09,4,상품,1580,,,10.0,kg,100.0,g,,,N,20241223033047
20241209,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,2,꽈리고추,9,09,4,상품,1790,,,4.0,kg,100.0,g,100.0,g,N,20241224111605
20241209,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,4,오이맛고추,9,09,4,상품,1580,,,10.0,kg,100.0,g,,,N,20241224111605
20241209,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,0,풋고추(녹광 등),9,09,4,상품,1790,1,kg,10.0,kg,100.0,g,100.0,g,N,20241224111605
20241211,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,0,풋고추(녹광 등),9,09,4,상품,1790,1,kg,10.0,kg,100.0,g,100.0,g,N,20241226111605
20241211,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,2,꽈리고추,9,09,4,상품,1790,,,4.0,kg,100.0,g,100.0,g,N,20241226111605
20241211,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,4,오이맛고추,9,09,4,상품,1580,,,10.0,kg,100.0,g,,,N,20241226111605
20241213,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,0,풋고추(녹광 등),9,09,4,상품,1720,1,kg,10.0,kg,100.0,g,100.0,g,N,20241230030114
20241213,828,1000010,온라인몰G,98,온라인,9998,온라인,242,풋고추,2,꽈리고추,9,09,4,상품,1720,,,4.0,kg,100.0,g,100.0,g,N,20241230030114
